新欧尚餐厅,金鸡湖路205号欧尚超市二楼铺位号603-2001, WiFi 
宜春润达餐厅,黄陂路以南、官圳路以西地段（润达国际D地块）润达购物中心一层, WiFi 
学士路餐厅,学士路177号福天洋湖时代苑17栋一层, WiFi 店内参观 生日餐会 
巨龙大道餐厅,盘龙经济开发区刘店村、下集村巨龙大道香奈天鹅湖A区二期德成生活中心项目一层, WiFi 
青浦宝龙餐厅,盈港东路7810、7812号青浦宝龙城市广场, WiFi 店内参观 
合肥半边街餐厅,环城南路8号半边街一层, WiFi 
弘阳广场餐厅,中吴大道南侧、长江南路西侧弘阳广场一层L1-018号商铺, WiFi 店内参观 
十堰三堰餐厅,人民路93号, WiFi 店内参观 
湖南路餐厅,鼓楼区湖南路18号1楼+负1楼, WiFi 全天营业 店内参观 
新疆高新万达餐厅餐厅,长春北路668号万达广场1层, WiFi 生日餐会 
协信星光餐厅,静安区江场路1228弄13号NL148, WiFi 
和平华夏未来餐厅餐厅,南马路15号17及荣业大街1号华夏未来城市广场一层铺位号：1009-101, WiFi 店内参观 生日餐会 
乾安路餐厅,马坡镇鲁能购物广场, WiFi 生日餐会 
六合服务区西区餐厅,境内长深高速公路的六合服务区西区一层, WiFi 
百联世纪大都会餐厅,浦东新区张杨路982号地下一层22室, WiFi 
六合服务区东区餐厅,境内长深高速公路的六合服务区东区一层, WiFi 
华阳城餐厅,长乐东路999号1层, WiFi 店内参观 
百联餐厅,黄兴中路188号乐和城北入口一层, WiFi 店内参观 生日餐会 
龙泉万达餐厅,龙泉街道永安路以北的万达广场1035/2028A/2028B号商铺, WiFi 生日餐会 
慈溪爱琴海餐厅,新城大道与北三环东路口, WiFi 店内参观 生日餐会 
左家塘外卖站餐厅,曙光中路56号一层, WiFi 
浏阳天虹餐厅,庆泰路天虹百货一层肯德基, WiFi 生日餐会 
爱建卓展餐厅,上海街99号卓展购物中心二期, WiFi 店内参观 生日餐会 
红星时代餐厅,宝庆中路与呙家路交汇处0002001等879处悦城商业广场一层, WiFi 生日餐会 
荆州新天地餐厅,塔桥路新天地上街5号楼一层120号肯德基, WiFi 店内参观 
天津亨顺广场甜品站餐厅,双口镇津永公路北侧立业园600-5号, WiFi 生日餐会 
温州滨江广场餐厅,鞋都大道235号, WiFi 店内参观 
东五环富力餐厅餐厅,黄厂南里3号院29号楼1层102, WiFi 店内参观 生日餐会 
云上餐厅,观山湖区长岭北路贵阳国际会议展览中心A.B区地下商业1号云上方舟智慧商业综合体项, WiFi 生日餐会 
百联奥莱餐厅,长沙县黄金大道以西、天祥路以南长沙临空经济区百联奥特莱斯购物广场（一期）路一层, WiFi 店内参观 生日餐会 
桥头桥光大道餐厅,桥头镇桥头村桥光大道桥头段165号上悦汇首层肯德基, WiFi 全天营业 店内参观 生日餐会 
溧水万达餐厅,高平大街55号万达广场一层铺位号【1001+1002A】, WiFi 
相城怀古餐厅,相山区南湖路与桓谭路交口淮北万达广场2号门1层1037号铺位, WiFi 店内参观 
大兴餐厅,莲湖区大兴东路龙湖星悦荟, WiFi 
银河大润发餐厅,解放路5段26号银河广场1号, WiFi 
青医附院崂山院区餐厅,海尔路59号青医附院崂山院区一层, WiFi 生日餐会 
沐风路餐厅,岳麓区梅溪湖弘德西街二期17栋弘坤花样汇一层, WiFi 店内参观 生日餐会 
泰和城餐厅,莲花路北侧工农路西侧泰和城一层, WiFi 店内参观 生日餐会 
新裕客隆餐厅,沙井街道沙头社区沙井路180号综合楼一层, WiFi 全天营业 店内参观 
中银餐厅,泉峰办事处青阳中路与泉峰路交叉口中银时代广场一层, WiFi 店内参观 生日餐会 
德隆餐厅,北安市南京路步行街103号, WiFi 店内参观 生日餐会 
文慧园甜品站餐厅,海淀区西直门北大街32号2号楼一层103-52号, WiFi 全天营业 店内参观 生日餐会 
芜湖八佰伴餐厅餐厅,中山北路33号八佰伴购物中心负一层（B1006铺位）、一层（F1019铺位）, WiFi 店内参观 
芜湖八佰伴餐厅餐厅,中山北路33号八佰伴购物中心6层（L6003A铺位）, WiFi 店内参观 
万科云城餐厅,石鼓路西侧云城绿廊C区商业L1-014, WiFi 生日餐会 
嘉定万达餐厅,胜辛路426号2层2062、2063号商铺, WiFi 
滨湖首创奥莱餐厅,包河区滨湖区珠江路首创奥特莱斯南门F1层F1-B09、B10B号商铺, WiFi 店内参观 
新疆高新万达二餐厅,长春北路668号万达广场4层, WiFi 店内参观 生日餐会 
西安机场T3外卖餐厅,咸阳国际机场T3航站楼到大厅一层, 生日餐会 
葵和大道餐厅,惠城镇南门东路一号文昌大酒店首层商铺, WiFi 全天营业 店内参观 生日餐会 
中山大街餐厅,中山大街59号院1号楼1层01, WiFi 生日餐会 
定福庄餐厅,三间房乡聚福苑小区C2区4号楼一层15号, WiFi 全天营业 店内参观 生日餐会 
火车南站出发层餐厅,城门镇胪雷村福州南站候车层编号HC38, WiFi 
欢乐谷餐厅,洪山区欢乐谷大道196号华侨城欢乐谷前广场H-1号二层, WiFi 
中心大商甜品站餐厅,中心大街东中心塔小区1-地下室地上一层西门F1S22-1, WiFi 店内参观 生日餐会 
长治万达餐厅,英雄北路222号万达广场一层1029号商铺, WiFi 店内参观 
北一路万达甜品站餐厅,北一中路1号北一路万达广场, WiFi 生日餐会 
福道甜品站餐厅,新梅路南梁厝东路金牛山北坡体育公园体育馆二号楼一层部分, WiFi 店内参观 生日餐会 
陆家嘴中心KPRO餐厅,浦东南路899号LG一层01单元, WiFi 
陆家嘴中心餐厅,浦东南路889号陆家嘴中心, WiFi 
新时代餐厅,城关镇南街9号新时代国际广场一、二层, WiFi 生日餐会 
杭州人工智能餐厅,余杭街道文一西路1818-9幢, WiFi 店内参观 
天津鞍山西道餐厅餐厅,鞍山西道（212-230）双号_01__号一层, WiFi 
万豪餐厅餐厅,二道区净月大街1号地上一层, WiFi 
昆山吾悦餐厅,昆山市玉山镇长江南路99号新城吾悦广场一层1030号、二层2026号, WiFi 店内参观 生日餐会 
版纳万达餐厅,西双版纳州工业园区万达广场一号门一楼肯德基, WiFi 生日餐会 
中海锦城餐厅,简上路与腾龙路交汇处AT Mall项目负一层和一层, WiFi 店内参观 
黄骅耀华甜品餐厅,渤海路南、信誉大街西侧黄骅信誉楼商厦一层, 店内参观 生日餐会 
云投中心餐厅,人民西路云投财富商业广场一层112号铺, WiFi 店内参观 生日餐会 
典尊餐厅,五一路560号, WiFi 店内参观 
虎石台大街餐厅,建设北一路54号一层, WiFi 店内参观 
新潮独立甜品站餐厅,让胡路区长春路126号1楼, WiFi 生日餐会 
平湖吾悦餐厅,南市路938号吾悦广场, WiFi 店内参观 生日餐会 
春天广场餐厅,芝山北路与萍洲西路交叉口西南角（现名为新商城春天广场）一层, WiFi 生日餐会 
石家庄勒泰甜品餐厅,中山东路勒泰中心6层F6-04 号商铺, WiFi 
济南星艺佳生活广场餐厅餐厅,清河路以北历黄路东侧星艺佳生活广场一层, WiFi 店内参观 生日餐会 
东方城甜品站餐厅,黑龙江中路2111号东方城购物中心内一层, 店内参观 
乐峰甜品站餐厅,榕景路95号232自编01（商铺号：02-S32a）, WiFi 
西溪银泰甜品站2餐厅,双龙路88号西溪银泰城2层011-11, WiFi 店内参观 生日餐会 
天河万科广场餐厅,华观路1932号116铺、117铺, WiFi 全天营业 店内参观 生日餐会 
大唐芙蓉园外卖点餐厅,芙蓉西路99号大唐芙蓉园内B9-B13号, WiFi 
绥化万达独立甜品站餐厅,新华街华德乐府南门1号商服万达广场4层, WiFi 店内参观 
江南西外卖点餐厅,江南西路26号, WiFi 店内参观 生日餐会 
三亚千古情餐厅,迎宾路千古情景区, WiFi 
山塘街餐厅,姑苏区山塘街48号, WiFi 店内参观 
万润广场餐厅,寮步镇香市路万润财富中心1幢商业办公里楼首层1018-1019铺, WiFi 店内参观 
太古街独立甜品站餐厅,太古街210号大润发一层, WiFi 
慈溪爱琴海甜品站餐厅,白沙街道上周塘村、古塘街道太屺村慈溪爱琴海购物公园三层, WiFi 
广运街餐厅餐厅,武城县广运街德百广场一层, WiFi 店内参观 生日餐会 
高唐财富广场餐厅,财富广场一层、二层, WiFi 生日餐会 
武威万达餐厅,迎宾路以东,正阳路以北万达广场, WiFi 店内参观 
解放餐厅,解放南路151号1层, WiFi 全天营业 店内参观 生日餐会 
百仕达甜品站餐厅,喜荟城购物中心一层L1-147商铺, WiFi 
淮北万达甜品站餐厅,相山区-南湖路万达广场4F-4002A铺位, WiFi 
乐盈广场餐厅,经济技术开发区枫林西大街以北、桂苑大道以西、江西科技师范大学以东经开盈石广场一层, WiFi 店内参观 
盛世国际餐厅,太和路119号, WiFi 生日餐会 
泰兴万达餐厅,鼓楼北路西侧、振兴路西侧万达广场一层, WiFi 
城阳万象汇餐厅,城阳华润万象汇第三层第L308号房产, WiFi 生日餐会 
贵阳北站餐厅,火车北站候车层夹层商业J07铺, WiFi 
金沙洲永旺餐厅,沙凤三路1号、1号之一、1号之二、永旺梦乐城广州金沙一层126号商铺, WiFi 店内参观 生日餐会 
泰兴吾悦餐厅,鼓楼北路199号新城吾悦广场1030号商铺, WiFi 
中冶和悦汇餐厅餐厅,黑牛城道与内江北路交口西北侧七贤南里109号底商201a, WiFi 
六合欢乐港餐厅,龙津路52号B1层（铺位号：B1039、B1052）, WiFi 
东凤尚悦餐厅,东凤镇小沥村兴华中路15号一层, WiFi 全天营业 店内参观 生日餐会 
湖滨东路肯德基餐厅,湖滨南路与湖滨东路交叉口西南侧厦门华润中心万象城B1层B128商铺, WiFi 店内参观 生日餐会 
当代DT餐厅,开发区东昌路北中华路东北当代国际广场展示中心, WiFi 店内参观 生日餐会 
龙旺庄餐厅,东潞苑一区4号楼一层107、108, WiFi 全天营业 店内参观 
西溪天堂餐厅,西湖区西溪天堂国际旅游综合体, WiFi 店内参观 生日餐会 
麒麟广场餐厅,黄阁大道大井村段西侧麒麟广场4号楼首层01-04、12号铺, WiFi 店内参观 生日餐会 
沈阳建筑大学肯德基餐厅,浑南区浑南东路9号沈阳建筑大学校内商业街29号, WiFi 
句容吾悦餐厅,宁杭南路99号新城吾悦广场2031、2032号商铺, WiFi 
新鹤独立甜品站餐厅,比优特购物中心四楼, WiFi 店内参观 
天宫院凯德餐厅,天宫院凯德mall地下一层肯德基, WiFi 生日餐会 
龙泉万达甜品站餐厅,龙泉驿区龙泉街道永安路以北的万达广场3楼3061号商铺, WiFi 全天营业 店内参观 生日餐会 
邢台泉南餐厅餐厅,泉南东大街北侧、开元路西侧万达广场一层1033号商铺, WiFi 
首创奥莱餐厅,荥阳市贾峪镇奥莱大道首创奥特莱斯, WiFi 店内参观 
斗门大信餐厅,斗门区井岸镇中兴中路328号一层大润发超市1001号商铺, WiFi 全天营业 生日餐会 
万虹餐厅,历城区工业北路南侧，开源路东侧万虹广场一层，店铺号为1F091-1C, WiFi 店内参观 生日餐会 
菏泽万达餐厅,开发区万达广场1002号商铺, WiFi 店内参观 生日餐会 
领地中心餐厅,青羊区西御街3号一层E-103号商铺、二楼E-203号商铺, WiFi 店内参观 
鱼化寨餐厅,雁塔区地铁3号线鱼化寨站物业区B3、B5、B6、B7商铺, 店内参观 
巢湖万达广场餐厅,居巢区太湖山路与东塘路交口万达广场一层1035号铺位, WiFi 
永荣大润发餐厅,航城街道广场南路888号永荣城市广场一层, WiFi 店内参观 生日餐会 
燕子矶花园城餐厅,栖霞区经五路二期西侧1号地块一层（铺位号：112）、二层（铺位号210）, WiFi 
机场国际厅外卖站餐厅,长沙县长沙黄花国际机场T2航站楼国际候机厅旅客通道一侧的肯德基品牌西式快餐项目, WiFi 
万达茂独立甜品站餐厅,松北区世贸大道99号松北万达广场三楼, WiFi 生日餐会 
寿光万达餐厅,广场街以南、学院路以西、新兴街以北万达广场1007号商铺, WiFi 生日餐会 
喜盈门餐厅,雨花区万家丽路与木莲路交汇处喜盈门范城1号栋一层, WiFi 生日餐会 
尚志服务区餐厅,哈牡高速公路150公里处尚志服务区, WiFi 生日餐会 
大悦城K-music餐厅餐厅,慈恩路777号大悦城负一层, WiFi 店内参观 
宁海桃源广场肯德基餐厅,宁海县气象北路398号桃源广场一楼, WiFi 店内参观 
李白大道餐厅,李白大道南二段1号宝龙广场一层M-F1-060号, WiFi 店内参观 
虎丘外卖点餐厅,姑苏区虎丘风景区内虎丘风情街区, WiFi 店内参观 
永威木色餐厅,郑东新区商务外环与东五街以及通泰路交叉口永威木色购物公园负一层、负二层, WiFi 店内参观 生日餐会 
石家庄万象城餐厅餐厅,中华大街与中山路交口7楼万象城肯德基, WiFi 
六合欢乐港甜品站餐厅,龙津路48号六合欢乐港三层3019B号铺位, WiFi 店内参观 生日餐会 
榆林万达餐厅,市辖区高新区长兴路175号, WiFi 
恒星餐厅,解放大路负110号恒星国际4号楼1层, WiFi 
拉萨功德林天街餐厅,北京中路47号1,2层, WiFi 
龙光餐厅,丰城市新城中心区29-2-2号地块喜盈门范城购物中心一层, WiFi 
硕果餐厅,金巢大道以西、竹山路以北“硕果.中心”一层, WiFi 
欧亚商都甜品站餐厅,朝阳区工农大路1128（欧亚商都）地下一层超市入口旁, WiFi 
净月奥莱餐厅,市辖区净月高新技术产业开发区永顺路388号, WiFi 
启东吾悦餐厅,汇龙镇建设南路8号新城吾悦广场1028、2029-2号, WiFi 
熙悦购物中心甜品餐厅,黄河道与密云路交口熙悦汇购物中心, WiFi 
青菏路餐厅餐厅,曹城青菏路与湘江路交汇处万基广场东南角一层, WiFi 店内参观 生日餐会 
招商花园 B1餐厅,浑南区营盘北街7号沈阳招商花园城购物中心地下一层, WiFi 
许昌万达餐厅,东城区魏文路东侧许都路南侧万达广场, WiFi 生日餐会 
五缘天虹餐厅,湖里区金湖路516号二层2040号, WiFi 生日餐会 
青山湖万达餐厅,青山湖区京东南大道1666号的万达广场1012A、1012B号商铺, WiFi 
嘉里城餐厅,青年大街123号嘉里城B1层B37号铺位, WiFi 
玉环吾悦餐厅,玉城街道双港路8号（吾悦广场一楼1029商铺）, WiFi 店内参观 生日餐会 
嘉兴华府银泰餐厅,城南路1532号, WiFi 店内参观 生日餐会 
火车南站到达层餐厅,仓山区城门镇胪雷村福州南站出站层CZ-29点位, WiFi 
临沂新城吾悦餐厅,新城吾悦广场1069号商铺, WiFi 店内参观 生日餐会 
云谷缤纷餐厅,滨湖新区西藏路与云谷路交口，华冶金谷广场一层1-1001、1-1002商铺, WiFi 
招商花园外卖点餐厅,浑南区营盘北街7号沈阳招商花园城购物中心, WiFi 
郑州东站精选餐厅,心怡路199号郑州东站站房外南廊1号商铺, WiFi 
天元路餐厅,罗山县天元中路与西大街交叉口西南角鼎盛广场1层, WiFi 店内参观 生日餐会 
松雅湖餐厅,东四路以西、望仙路以北新城吾悦广场1018号商铺, WiFi 店内参观 生日餐会 
沙坪坝万达餐厅,沙坪坝经纬大道1108号万达广场B1038号商铺, WiFi 
安溪万达餐厅餐厅,参内乡河滨北路 2009号安溪万达广场一层1062、1063商铺, WiFi 店内参观 生日餐会 
万家广场餐厅,闽侯县甘蔗街道昙石山大道136号闽侯万家广场5号楼1层001号商铺, WiFi 店内参观 生日餐会 
越王大道餐厅,越王大道139号河源商业中心L112号商铺(坚基一楼2号门), WiFi 店内参观 生日餐会 
雁南一路餐厅,红专南路8号翠华路以西雁南一路以北长庆坊玺岸广场一楼102号, WiFi 
湖州金源餐厅餐厅,南街与红旗路东北角，金源大厦一、二层, WiFi 
宜宾万达餐厅,叙州区南岸街道航天路南段7号万达广场1B027商铺, WiFi 
福润餐厅,冶金大道西侧建设大道南侧福润印象城商业广场一层, WiFi 店内参观 
顺德大信餐厅,大良街道德和居委会新城区彩虹路1号大信新都汇顺德店首层L1049, WiFi 店内参观 生日餐会 
顺德大信甜品站餐厅,顺德区大良街道德和居委会新城区彩虹路1号大信新都汇顺德店三层L3026, WiFi 生日餐会 
凤阳商贸城餐厅,凤阳县府城镇府西街商贸城1+2F, WiFi 店内参观 
绵阳经开万达餐厅,经开区三江大道16号、18号万达广场1033号商铺, WiFi 店内参观 
次渠万科餐厅,台湖高端总部基地辅西路38号8号楼8-1-1, WiFi 生日餐会 
枫亭餐厅,仙游县枫亭镇铺头社区枫江北街928号枫城新都一期21交易展示中心枫亭世纪城一层, WiFi 店内参观 生日餐会 
仙居吾悦广场餐厅,泰和中路1号新城吾悦广场一层铺位号为1033号铺位, WiFi 生日餐会 
百信广场西区餐厅,-07铺白云区棠乐路1,3,5,7号百信广场西区L3-003号, WiFi 
砂之船肯德基餐厅,望城区金星大道砂之船(长沙)奥莱项目LG层, WiFi 店内参观 生日餐会 
阳江新达城餐厅,新江北路北侧、创业路东侧福盈新达城首层, WiFi 店内参观 生日餐会 
西宸餐厅,花照壁西顺街399号B1F-12, WiFi 生日餐会 
叮叮MALL甜品站餐厅,劳动西路337号叮叮商业广场B1层1001商铺, WiFi 
阳江站餐厅,阳江车站阳江1-1号商铺, WiFi 
领丰汇餐厅,黄圃镇新明中路13号领丰汇首层, WiFi 店内参观 生日餐会 
双井甜品站餐厅,东三环中路65号楼五层601内502-6、502-7号, WiFi 
正定机场安检内餐厅餐厅,正定国际机场2号航站楼二层隔离区北端, WiFi 
洛阳正大餐厅,洛龙区正大广场2F08商铺和2F42商铺, WiFi 生日餐会 
宿迁万达餐厅,宿豫区项王路8号万达广场, WiFi 店内参观 生日餐会 
悦盈餐厅,南区永安一路9号悦盈新成花园悦盈商业中心101-103卡部分首层, WiFi 店内参观 生日餐会 
铜梁万达餐厅,东城街道办事处中兴东路788号, WiFi 
玄武湖外卖点餐厅,玄武湖景区环洲, WiFi 
嘉里城甜品站餐厅,青年大街123号嘉里城2层207号铺位, WiFi 店内参观 生日餐会 
水贝北餐厅,布心路3008号IBC MALL负一层肯德基, WiFi 店内参观 生日餐会 
松阳万家惠餐厅,西屏街道要津路155-1号万家惠超市一层, WiFi 店内参观 生日餐会 
本溪万达餐厅,平山路118栋, WiFi 生日餐会 
中柏大道餐厅,高新区中和仁路340.342, WiFi 
明珠餐厅餐厅,昆仑路21号明珠购物中心一层, WiFi 生日餐会 
兴宁吾悦餐厅,金川路7号吾悦广场1号门, WiFi 店内参观 生日餐会 
大兴金星西路甜品站餐厅,大兴区金星西路5号及5号院1号楼1层1F-ZD01号商铺, 店内参观 
华府大道餐厅餐厅,天府大道与华府大道交汇处蓝润置地广场1号6栋1层1/2/3号商铺, WiFi 
呼和浩特时代城餐厅餐厅,中山西路海亮广场一层, WiFi 生日餐会 
欢乐大世界餐厅餐厅,新建区幸福北路欢乐大世界289号A411-A412壹层, WiFi 
桃村北站餐厅,栖霞市桃村北站候车室2号, WiFi 
菏泽万达甜品站餐厅,市辖区万达三层, WiFi 
贵港万达餐厅,布山大道万达广场2号门旁（停车场入口左侧）, WiFi 店内参观 生日餐会 
阳西站餐厅,阳西县阳西车站、编号阳西-2号商铺, WiFi 
新丰餐厅,丰城街道人民东路30号东盛广场首层A1019、A1020、A1021、A1, WiFi 店内参观 生日餐会 
福州南街餐厅,八一七北路三坊七巷南街商业中心B1F086—087号商铺, WiFi 
海乐城餐厅餐厅,永阳镇中大街81号溧水国际中心南京海乐城六层（铺位号6F-12A), WiFi 
G58餐厅,万家丽中路三段206号瑞景大厦1层, WiFi 生日餐会 
首创禧悦里餐厅,凤城十二路以北文景路以东首创禧悦里1层, WiFi 店内参观 
南安中骏世界城餐厅,美林街道江北大道与美林路交汇处商场一层M129B, WiFi 生日餐会 
城东万达餐厅,城东街道安吉路970号城东万达广场1A002.1A003A.1B001号商铺, WiFi 生日餐会 
怡海港餐厅,桂城街道简平路7号南舜广场5座2栋首层1019-1024号铺, WiFi 店内参观 生日餐会 
万马奔腾餐厅,中山北路南侧君盛广场1#一层, WiFi 
壹方城餐厅,大学路西侧壹方城一层、铺位号L1045-1046, WiFi 店内参观 
长江传媒大厦外卖点餐厅,金桥大道特115号长江传媒大厦裙楼1层大堂, WiFi 
新阳北路餐厅,海沧区新阳北路1668号1#楼105和109, WiFi 店内参观 生日餐会 
保定易县朝阳餐厅餐厅,朝阳西路南侧一层, WiFi 
东北塘餐厅,东北塘街道东亭路星叶生活广场一层, WiFi 店内参观 
东庐山餐厅,溧水区宁杭高速公路东庐山服务区（宁杭向）, WiFi 
信和餐厅,冷水江锑路中路与健康路叉路口一二层, WiFi 店内参观 生日餐会 
新都汇餐厅,1005-1009铺东门南路333号新都汇时代广场购物中心二期2号楼一层1001-1003铺、, WiFi 店内参观 生日餐会 
椒江青悦城餐厅,中心大道555号青悦城一楼113-115铺位, WiFi 店内参观 
呼和浩特万悦餐厅餐厅,赛罕区大学东街与丰州路交口维多利万悦城一层, WiFi 生日餐会 
中央公园比优特独立甜品站餐厅,黄河路红博中央公园地下富二层比优特超市旁, WiFi 生日餐会 
龙湖锦艺餐厅,龙湖镇郑新路与双湖大道交叉口东北角龙湖锦艺城临2号门一层、三层, WiFi 生日餐会 
云漳路餐厅,云漳路107号一层, WiFi 全天营业 店内参观 生日餐会 
湖滨in77餐厅,解放路湖滨in77C3区B1F, WiFi 店内参观 生日餐会 
华融和生餐厅,通州区川姜镇川叠路1555号华融和生商业广场一楼A1-1，二楼A2-2, WiFi 店内参观 
吉泰路餐厅,高新区天府二街151号、吉泰路750号一层108-2号商铺, WiFi 
路桥大润发餐厅,螺洋街道银安西街9号万嘉广场一层1001号铺位, WiFi 店内参观 
太原南内环西餐厅,南内环西街润景商铺14#楼1001、1002号商铺一层, WiFi 店内参观 
青山湖科技园餐厅,临安区青山湖街道大园路1155号青山湖科技城创业广场一层1-003商铺, WiFi 店内参观 
南通唐闸餐厅,港闸区唐闸镇兴隆街2-1号一楼、二楼, WiFi 生日餐会 
汇集餐厅,市辖区开发区飞跃路2566号, WiFi 店内参观 
美好易居城餐厅,美好易居城云庭轩32幢101室, WiFi 
绿地468甜品站餐厅,喜树街35号3F-015, WiFi 
绿地468餐厅,喜树街35号B1F-004, WiFi 
张家港万达餐厅,人民东路20号万达广场1062号商铺, WiFi 
运城万达餐厅,禹西路1789号万达广场一层肯德基餐厅, WiFi 
五台山悦龙餐厅,五台山风景名胜区悦龙山庄一层, WiFi 店内参观 
如东时代生活广场餐厅,掘港镇海花路186号如东时代生活广场一楼肯德基, WiFi 店内参观 
嘉兴合乐城餐厅,中环东路1468号嘉兴合乐城JXHLC-A102号, WiFi 
龙湾大润发餐厅,龙湾区永中街道永中西路与龙海路交汇处大润发超市一楼, WiFi 
三河永旺餐厅餐厅,成河北燕郊购物中心1层铺位号148-A燕郊高新区102国道27号(燕郊高新区102国道北侧、东五路东侧)永旺梦乐, WiFi 店内参观 生日餐会 
理工大学餐厅,赤岭路219号旭和大厦一二层, WiFi 店内参观 生日餐会 
太平廊桥餐厅,太平桥地段太平廊桥项目一层, WiFi 生日餐会 
开发区快轨站餐厅,辽河西路88号, WiFi 
锦绣广场餐厅,荔城街府佑路108号一层, WiFi 全天营业 店内参观 生日餐会 
象山壹街区餐厅,天安路250号, WiFi 店内参观 生日餐会 
临浦风情大道DT餐厅,萧山区临浦镇潮人汇商厦102室至129室，219室，221室一层, WiFi 店内参观 
首创奥莱餐厅,历城区唐冶片区唐冶东路西侧世纪大道北侧首创奥莱F1, WiFi 
南通兴东机场餐厅,通州区兴东街道南通兴东机场CFDT-2区域, WiFi 
原平中央时代餐厅,前进西街与体育北路西北角中央时代广场一层, WiFi 店内参观 
星海广场餐厅,星海广场C3区31号一层1号, WiFi 
新疆新客站高铁二餐厅,高铁北六路乌鲁木齐新客站高架候车夹层餐饮区东四-1号, WiFi 
乌鲁木齐机场第二航站楼餐厅餐厅,高新区()迎宾路1241号内的乌鲁木齐空港客运综合枢纽站内B1商铺、B2商铺及B3商铺的局部, WiFi 
萍乡梦想天街餐厅,后埠街跃进北路261号梦想天街商场一层, WiFi 
平湖大道餐厅,茅坪镇平湖大道与平湖二路交汇处1-2层, WiFi 生日餐会 
芳茂山服务区北餐厅,务楼一层铺位号1-18、二层铺位号2-18芳茂山服务区(位于沪蓉高速公路(G42)江苏段K161+560)北区商业服, WiFi 
鑫源餐厅,颍河大道与阳光路交汇处东50米鑫源国际一层, WiFi 店内参观 生日餐会 
漳平和平中路肯德基餐厅餐厅,和平中路381号中央福第一层, WiFi 生日餐会 
泰盛广场餐厅,通达路与解放路交汇处东北角泰盛购物广场(中汇广场)负一层、一层、六层, WiFi 店内参观 生日餐会 
钟宅路海天红星餐厅,湖里区钟宅路65号101单元一层4101号, 店内参观 
永乐甜品站餐厅,南长区南长街433号1+2层, WiFi 
人民西路餐厅,诸城市人民西路123号佳乐家购物中心一层, WiFi 店内参观 生日餐会 
兴科大道餐厅,宝圣湖街道兴科大道322号蘭亭.新都汇一层2-1-1A, WiFi 店内参观 
天一绿海购物中心餐厅餐厅,蓟县东环路北端东侧揽秀园55-101一层, WiFi 店内参观 生日餐会 
崇安寺甜品站餐厅,崇安区人民中路111号苏宁广场负一楼ZSB104号商铺, WiFi 
安阳服务区餐厅,京港澳高速安阳东服务区一层、三层和西服务区一层, WiFi 
黄梅大道餐厅,黄梅县黄梅大道95号一层, WiFi 生日餐会 
行政中心站餐厅餐厅,未央路与凤城八路十字交叉口B1F, WiFi 
冰雪大世界子——KCOFFEE餐厅,松北区冰雪大世界园区内, WiFi 
三鲁餐厅,懿行路593号、601号一层, WiFi 
润和广场餐厅餐厅,小溪镇东风路润和广场一层, 全天营业 店内参观 生日餐会 
昌图服务区外卖点餐厅,沈四高速公路沿线昌图服务区西侧一层, WiFi 
大源餐厅,大源南路108号大源商业广场自编7号商铺首、二层, WiFi 全天营业 店内参观 生日餐会 
尹山湖爱琴海餐厅,号为3109-3110号吴中区经济开发区清禾路888号尹山湖商业水街负一层铺位号为B1029号、一层铺位, WiFi 生日餐会 
凯德壹中心餐厅,茶子山东路112号凯德壹中心LG层24/25号房屋, WiFi 生日餐会 
新区金鹰餐厅,高新区狮山路298号苏州高新金鹰商业广场一层1-04、1-05, WiFi 
金光KPRO餐厅,东长治路588号上海白玉兰广场商场L1-19, WiFi 
凯鸿广场餐厅,虹口区四川北路1661号, WiFi 店内参观 
宜昌新华广场餐厅,城东大道宜昌新华广场项目B区商业1-2层, WiFi 生日餐会 
港西路餐厅餐厅,高新区港兴三路北段未来创业广场A116号, WiFi 生日餐会 
望都易购餐厅餐厅,庆都西路易购广场一层, WiFi 
龙山南路餐厅,龙山南路123号之X1-03, WiFi 
易和餐厅,清原镇新村街河南新区易和广场, WiFi 
塘沽永旺甜品餐厅,时尚东路29号600区永旺梦乐城天津泰达购物中心2层铺位号264b, WiFi 
东方华达城餐厅,江山市站前大道1号地块A区块江山东方广场一层1006号, WiFi 店内参观 生日餐会 
石家庄市六院餐厅餐厅,新华区358号妇幼保健院一层001号, WiFi 店内参观 生日餐会 
大悦城甜品站餐厅,曲江新区慈恩西路大雁塔南广场西侧1幢10101室, WiFi 
赤壁西湖国际广场餐厅,赤壁西湖国际一楼肯德基, WiFi 店内参观 
金山万达餐厅,龙皓路1098号, WiFi 
汇金路甜品站餐厅,万家丽南路2段989号2层, WiFi 
凤鸣北路餐厅,凤鸣北路与环湖路交汇处奥园德远新天地购物中心一层L1-086号商铺, WiFi 
方圆荟餐厅,岳麓区望城坡街道枫林三路49号湘江新区综合交通枢纽备班楼T3栋购物广场一层, WiFi 店内参观 生日餐会 
兰州新区奥莱餐厅,永登县经十路以东、纬十路以南、经十一路以西、纬八路以北的奥特莱斯广场, WiFi 店内参观 
积水潭甜品站餐厅,新街口北大街1号1号楼新华百货二层X-2A104号, WiFi 
康泰餐厅,桂园路33号康泰都市B区康泰又一城首层, WiFi 全天营业 店内参观 生日餐会 
孱陵大道餐厅,公安县城南新区斗湖堤镇孱陵大道与文武路交汇处一层, WiFi 店内参观 
